File Path,Pattern,Match
F:\2024 ATI\2426.24 TEN Adeguamento ospedale SS. Carlo (PU)\7. archivio\Cartella CR. B1 - UNITA\CR. B1 - UNITA.pdf,tipo_simili,Arco Dumping di Arco Acustica
F:\2024 ATI\2426.24 TEN Adeguamento ospedale SS. Carlo (PU)\7. archivio\Cartella CR. B1 - UNITA\CR. B1 - UNITA.pdf,tipo_simili,insonorizzato Valsir Tropea S
F:\2024 ATI\2426.24 TEN Adeguamento ospedale SS. Carlo (PU)\7. archivio\Cartella CR. B1 - UNITA\CR. B1 - UNITA.pdf,tipo_similar,30TSL HQ di Hiref
F:\2024 ATI\2426.24 TEN Adeguamento ospedale SS. Carlo (PU)\7. archivio\Cartella CR. B1 - UNITA\CR. B1 - UNITA.pdf,tipo_similar,Sunpower
F:\2024 ATI\2426.24 TEN Adeguamento ospedale SS. Carlo (PU)\7. archivio\Cartella CR. B1 - UNITA\CR. B1 - UNITA.pdf,tipo_similar,MediCare Standard di Rockfon
F:\2024 ATI\2426.24 TEN Adeguamento ospedale SS. Carlo (PU)\7. archivio\Cartella CR. B1 - UNITA\CR. B1 - UNITA.pdf,tipo_similar,MediCare Plus di Rockfon
F:\2024 ATI\2426.24 TEN Adeguamento ospedale SS. Carlo (PU)\7. archivio\Cartella CR. B1 - UNITA\CR. B1 - UNITA.pdf,tipo_similar,MediCare Air di Rockfon
F:\2024 ATI\2426.24 TEN Adeguamento ospedale SS. Carlo (PU)\7. archivio\Cartella CR. B1 - UNITA\CR. B1 - UNITA.pdf,tipo_similar,Fonostop Duo di Index
F:\2024 ATI\2426.24 TEN Adeguamento ospedale SS. Carlo (PU)\7. archivio\Cartella CR. B1 - UNITA\CR. B1 - UNITA.pdf,tipo_similar,Porotherm Bio Plan
F:\2024 ATI\2426.24 TEN Adeguamento ospedale SS. Carlo (PU)\7. archivio\Cartella CR. B1 - UNITA\CR. B1 - UNITA.pdf,tipo_similar,Habito 13 Activ'Air di Gyproc
F:\2024 ATI\2426.24 TEN Adeguamento ospedale SS. Carlo (PU)\7. archivio\Cartella CR. B1 - UNITA\CR. B1 - UNITA.pdf,tipo_similar,Veneto xf2 di Tarkett
F:\2024 ATI\2426.24 TEN Adeguamento ospedale SS. Carlo (PU)\7. archivio\Cartella CR. B1 - UNITA\CR. B1 - UNITA.pdf,tipo_similar,Acczent Excellence 80 di Tarkett
F:\2024 ATI\2426.24 TEN Adeguamento ospedale SS. Carlo (PU)\7. archivio\Cartella CR. B1 - UNITA\CR. B1 - UNITA.pdf,tipo_similar,Granit Safe.T di Tarkett
F:\2024 ATI\2426.24 TEN Adeguamento ospedale SS. Carlo (PU)\7. archivio\Cartella CR. B1 - UNITA\CR. B1 - UNITA.pdf,tipo_similar,iQ Toro SC di Tarkett
F:\2024 ATI\2426.24 TEN Adeguamento ospedale SS. Carlo (PU)\7. archivio\Cartella CR. B1 - UNITA\CR. B1 - UNITA.pdf,tipo_similar,Urban Active 120x60 di GranitiFiandre
F:\2024 ATI\2426.24 TEN Adeguamento ospedale SS. Carlo (PU)\7. archivio\Cartella CR. B1 - UNITA\CR. B1 - UNITA.pdf,tipo_similar,Mapetop N AR6 di Mapei
F:\2024 ATI\2426.24 TEN Adeguamento ospedale SS. Carlo (PU)\7. archivio\Cartella CR. B1 - UNITA\CR. B1 - UNITA.pdf,tipo_similar,Top Clean Trend XL di Geggus
F:\2024 ATI\2426.24 TEN Adeguamento ospedale SS. Carlo (PU)\7. archivio\Cartella CR. B1 - UNITA\CR. B1 - UNITA.pdf,tipo_similar,ProtectWALL di Tarkett
F:\2024 ATI\2426.24 TEN Adeguamento ospedale SS. Carlo (PU)\7. archivio\Cartella CR. B1 - UNITA\CR. B1 - UNITA.pdf,tipo_similar,Acrovyn
F:\2024 ATI\2426.24 TEN Adeguamento ospedale SS. Carlo (PU)\7. archivio\Cartella CR. B1 - UNITA\CR. B1 - UNITA.pdf,tipo_similar,Airlite
F:\2024 ATI\2426.24 TEN Adeguamento ospedale SS. Carlo (PU)\7. archivio\Cartella CR. B1 - UNITA\CR. B1 - UNITA.pdf,tipo_similar,Fjord di Fiandre
F:\2024 ATI\2426.24 TEN Adeguamento ospedale SS. Carlo (PU)\7. archivio\Cartella CR. B1 - UNITA\CR. B1 - UNITA.pdf,tipo_similar,Casaluci
F:\2024 ATI\2426.24 TEN Adeguamento ospedale SS. Carlo (PU)\7. archivio\Cartella CR. B1 - UNITA\CR. B1 - UNITA.pdf,tipo_similar,Casaluci
F:\2024 ATI\2426.24 TEN Adeguamento ospedale SS. Carlo (PU)\7. archivio\Cartella CR. B1 - UNITA\CR. B1 - UNITA.pdf,tipo_similar,Operamed
F:\2024 ATI\2426.24 TEN Adeguamento ospedale SS. Carlo (PU)\7. archivio\Cartella CR. B1 - UNITA\CR. B1 - UNITA.pdf,tipo_similar,Modular
F:\2024 ATI\2426.24 TEN Adeguamento ospedale SS. Carlo (PU)\7. archivio\Cartella CR. B1 - UNITA\CR. B1 - UNITA.pdf,tipo_similar,G-Fon
F:\2024 ATI\2426.24 TEN Adeguamento ospedale SS. Carlo (PU)\7. archivio\Cartella CR. B1 - UNITA\CR. B1 - UNITA.pdf,tipo_similar,Kopron
F:\2024 ATI\2426.24 TEN Adeguamento ospedale SS. Carlo (PU)\7. archivio\Cartella TAVOLE CR. B1 - UNITE\TAVOLE CR. B1 - UNITE.pdf,tipo_simili,Raze Bollard di Thorn
F:\2024 ATI\2426.24 TEN Adeguamento ospedale SS. Carlo (PU)\7. archivio\Cartella TAVOLE CR. B1 - UNITE\TAVOLE CR. B1 - UNITE.pdf,tipo_simili,ADV di Rhoss
F:\2024 ATI\2426.24 TEN Adeguamento ospedale SS. Carlo (PU)\7. archivio\Cartella TAVOLE CR. B1 - UNITE\TAVOLE CR. B1 - UNITE.pdf,tipo_simili,Hiref
F:\2024 ATI\2426.24 TEN Adeguamento ospedale SS. Carlo (PU)\7. archivio\Cartella TAVOLE CR. B1 - UNITE\TAVOLE CR. B1 - UNITE.pdf,tipo_simili,SilentPro di Geberit
F:\2024 ATI\2426.24 TEN Adeguamento ospedale SS. Carlo (PU)\7. archivio\Cartella TAVOLE CR. B1 - UNITE\TAVOLE CR. B1 - UNITE.pdf,tipo_simili,Purelight e Ioniqua Interior di Airlite
F:\2024 ATI\2426.24 TEN Adeguamento ospedale SS. Carlo (PU)\7. archivio\Cartella TAVOLE CR. B1 - UNITE\TAVOLE CR. B1 - UNITE.pdf,tipo_simili,Habito/Hydro 13 Activ'Air di Gyproc
F:\2024 ATI\2426.24 TEN Adeguamento ospedale SS. Carlo (PU)\7. archivio\Cartella TAVOLE CR. B1 - UNITE\TAVOLE CR. B1 - UNITE.pdf,tipo_similar,G-Fon Metal
F:\2024 ATI\2426.24 TEN Adeguamento ospedale SS. Carlo (PU)\7. archivio\Cartella TAVOLE CR. B1 - UNITE\TAVOLE CR. B1 - UNITE.pdf,tipo_similar,Kopron
F:\2024 ATI\2426.24 TEN Adeguamento ospedale SS. Carlo (PU)\7. archivio\Cartella TAVOLE CR. B1 - UNITE\TAVOLE CR. B1 - UNITE.pdf,tipo_similar,Valsir Tropea S
F:\2024 ATI\2426.24 TEN Adeguamento ospedale SS. Carlo (PU)\7. archivio\Cartella TAVOLE CR. B1 - UNITE\TAVOLE CR. B1 - UNITE.pdf,tipo_similar,Fonostop Duo di Index
F:\2024 ATI\2426.24 TEN Adeguamento ospedale SS. Carlo (PU)\7. archivio\Cartella TAVOLE CR. B1 - UNITE\TAVOLE CR. B1 - UNITE.pdf,tipo_similar,ArcoMacchine
F:\2024 ATI\2426.24 TEN Adeguamento ospedale SS. Carlo (PU)\7. archivio\Cartella TAVOLE CR. B1 - UNITE\TAVOLE CR. B1 - UNITE.pdf,tipo_similar,Porotherm BioPlan di Wienerberger
F:\2024 ATI\2426.24 TEN Adeguamento ospedale SS. Carlo (PU)\7. archivio\Cartella TAVOLE CR. B1 - UNITE\TAVOLE CR. B1 - UNITE.pdf,tipo_similar,Casaluci
F:\2024 ATI\2426.24 TEN Adeguamento ospedale SS. Carlo (PU)\7. archivio\Cartella TAVOLE CR. B1 - UNITE\TAVOLE CR. B1 - UNITE.pdf,tipo_similar,Oki Plus ES LL di LM
F:\2024 ATI\2426.24 TEN Adeguamento ospedale SS. Carlo (PU)\7. archivio\Cartella TAVOLE CR. B1 - UNITE\TAVOLE CR. B1 - UNITE.pdf,tipo_similar,KTF- Thermo di Kopron
F:\2024 ATI\2426.24 TEN Adeguamento ospedale SS. Carlo (PU)\7. archivio\Cartella TAVOLE CR. B1 - UNITE\TAVOLE CR. B1 - UNITE.pdf,tipo_similar,Fast Roll 3.1 di Kopron
F:\2024 ATI\2429.24 TEN PF Efficientamento scuole NZEB (BO)\7. archivio\CDE_1129\3.b2.19 Relazione Tecnica CDE 1129_Rev06.docx,tipo_simili,Cool-lite xtreme oraé di Saint-Gobain
F:\2024 ATI\2429.24 TEN PF Efficientamento scuole NZEB (BO)\7. archivio\CDE_1129\3.b2.19 Relazione Tecnica CDE 1129_Rev06.docx,tipo_simili,Disano
